kind,value,generated_yoruba,engine_flag,correct (Y/N),correction,notes
cardinal-traditional,0,Òdo,,,,
cardinal-traditional,1,Ọ̀kan,,,,
cardinal-traditional,2,Méjì,,,,
cardinal-traditional,3,Mẹ́ta,,,,
cardinal-traditional,4,Mẹ́rin,,,,
cardinal-traditional,5,Márùn-ún,,,,
cardinal-traditional,6,Mẹ́fà,,,,
cardinal-traditional,7,Méje,,,,
cardinal-traditional,8,Mẹ́jọ,,,,
cardinal-traditional,9,Mẹ́sàn-án,,,,
cardinal-traditional,10,Mẹ́wàá,,,,
cardinal-traditional,11,Mọ́kànlá,,,,
cardinal-traditional,12,Méjìlá,,,,
cardinal-traditional,13,Mẹ́tàlá,,,,
cardinal-traditional,14,Mẹ́rìnlá,,,,
cardinal-traditional,15,Mẹ́ẹ̀dógún,,,,
cardinal-traditional,16,Mẹ́rìndínlógún,,,,
cardinal-traditional,17,Mẹ́tàdínlógún,,,,
cardinal-traditional,18,Méjìdínlógún,,,,
cardinal-traditional,19,Mọ́kàndínlógún,,,,
cardinal-traditional,20,Ogún,,,,
cardinal-traditional,21,Mọ́kànlélógún,,,,
cardinal-traditional,22,Méjìlélógún,,,,
cardinal-traditional,23,Mẹ́tàlélógún,,,,
cardinal-traditional,24,Mẹ́rìnlélógún,,,,
cardinal-traditional,25,Mẹ́ẹ̀dọ́gbọ̀n,,,,
cardinal-traditional,26,Mẹ́rìndínlọ́gbọ̀n,,,,
cardinal-traditional,27,Mẹ́tàdínlọ́gbọ̀n,,,,
cardinal-traditional,28,Méjìdínlọ́gbọ̀n,,,,
cardinal-traditional,29,Mọ́kàndínlọ́gbọ̀n,,,,
cardinal-traditional,30,Ọgbọ̀n,,,,
cardinal-traditional,31,Mọ́kànlélọ́gbọ̀n,,,,
cardinal-traditional,32,Méjìlélọ́gbọ̀n,,,,
cardinal-traditional,33,Mẹ́tàlélọ́gbọ̀n,,,,
cardinal-traditional,34,Mẹ́rìnlélọ́gbọ̀n,,,,
cardinal-traditional,35,Márùndínlógójì,,,,
cardinal-traditional,36,Mẹ́rìndínlógójì,,,,
cardinal-traditional,37,Mẹ́tàdínlógójì,,,,
cardinal-traditional,38,Méjìdínlógójì,,,,
cardinal-traditional,39,Mọ́kàndínlógójì,,,,
cardinal-traditional,40,Ogójì,,,,
cardinal-traditional,41,Mọ́kànlélógójì,,,,
cardinal-traditional,42,Méjìlélógójì,,,,
cardinal-traditional,43,Mẹ́tàlélógójì,,,,
cardinal-traditional,44,Mẹ́rìnlélógójì,,,,
cardinal-traditional,45,Márùndínláàádọ́ta,,,,
cardinal-traditional,46,Mẹ́rìndínláàádọ́ta,,,,
cardinal-traditional,47,Mẹ́tàdínláàádọ́ta,,,,
cardinal-traditional,48,Méjìdínláàádọ́ta,,,,
cardinal-traditional,49,Mọ́kàndínláàádọ́ta,,,,
cardinal-traditional,50,Àádọ́ta,,,,
cardinal-traditional,51,Mọ́kànléláàádọ́ta,,,,
cardinal-traditional,52,Méjìléláàádọ́ta,,,,
cardinal-traditional,53,Mẹ́tàléláàádọ́ta,,,,
cardinal-traditional,54,Mẹ́rìnléláàádọ́ta,,,,
cardinal-traditional,55,Márùndínlọ́gọ́ta,,,,
